Class,Precision,Recall,F1-Score,Support
akiec,0.2518,0.5385,0.3431,65
bcc,0.4146,0.3301,0.3676,103
bkl,0.43,0.4045,0.4169,220
df,0.0548,0.3478,0.0947,23
mel,0.3493,0.4574,0.3961,223
nv,0.9164,0.695,0.7905,1341
vasc,0.175,0.75,0.2838,28
,,,,
accuracy,,,0.6096,2003
macro avg,0.3703,0.5033,0.3847,2003
weighted avg,0.7322,0.6096,0.6542,2003
